artist_name,artist_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,201028.9,58.6,0.6793,0.135766,0.6288,2.5841e-05,0.2649,-5.7732,0.08304,123.2145,0.4726
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,177896.8,58.5,0.5081,0.0030215,0.8747999999999999,0.010022026,0.18045,-4.974600000000001,0.04802,143.5661,0.6883
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,185827.4,74.7,0.6237999999999999,0.061316999999999997,0.7538,0.0003918970000000001,0.18073,-5.5577,0.07339999999999999,120.2098,0.39330000000000004
Big Time Rush,0GWCNkPi54upO9WLlwjAHd,211015.2,50.9,0.6131,0.0969837,0.837,0.0,0.142,-4.2056,0.05441,126.51140000000001,0.6119
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,255426.4,91.3,0.5529,0.40171999999999997,0.3222,0.131193433,0.11943000000000001,-11.5783,0.060160000000000005,117.78219999999999,0.335
Bridgit Mendler,4VhL8KLjVso4vLfOLVViTb,194191.1,55.7,0.5944,0.0780004,0.7767,7.469800000000001e-05,0.09863,-4.4942,0.055940000000000004,136.0334,0.5263
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,199221.2,76.8,0.67,0.11595,0.6576000000000001,0.00054074,0.15405,-5.4523,0.056010000000000004,109.5907,0.44721
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,257924.1,65.3,0.5843,0.26728300000000005,0.4676,0.007429458,0.09311,-9.8529,0.05038,132.4456,0.2878
Charli XCX,25uiPmTg16RbhZWAqwLBy5,161300.4,68.2,0.7376,0.1369803,0.7908000000000001,0.10092999700000001,0.13454,-5.3388,0.10157000000000001,132.1763,0.5861
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,194577.1,76.3,0.7487,0.31861,0.5864,3.9503e-05,0.14787,-6.1708,0.08827,113.4605,0.5761000000000001
Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,227254.4,75.7,0.4497,0.085524,0.6921,0.010235669,0.16313,-6.0169,0.06211,140.4335,0.27817000000000003
Cher Lloyd,4m4SfDVbF5wxrwEjDKgi4k,195091.8,45.6,0.6813,0.10707,0.7512000000000001,1.1e-06,0.26422,-4.5668,0.0902,118.5637,0.5328
Clairo,3l0CmX0FuQjFxr8SK7Vqag,178552.4,74.2,0.7217,0.5929,0.47857000000000005,0.04406682,0.14348,-9.6051,0.05072,115.06089999999999,0.573
Cody Simpson,79Xp2rRN7wdsaTJgttdX3K,200516.7,46.4,0.5936,0.3246674,0.5686,0.000196007,0.22560000000000002,-7.376,0.0484,106.2594,0.5468999999999999
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,201219.8,74.0,0.4626,0.281229,0.5493,2.65e-06,0.21006999999999998,-6.5486,0.04004,124.43440000000001,0.42780000000000007
DNCE,6T5tfhQCknKG4UnH90qGnz,200897.4,56.3,0.7146,0.10766,0.7357,4.4200000000000004e-05,0.19590000000000002,-5.677899999999999,0.06903000000000001,118.2921,0.8058
Daya,6Dd3NScHWwnW6obMFbl1BH,201887.4,66.5,0.6713,0.1630873,0.7379,0.021100121,0.21635,-4.5006,0.07699,112.3339,0.41200000000000003
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,201903.5,68.5,0.6111,0.10803500000000002,0.7011999999999999,2.925e-05,0.17429999999999998,-4.9259,0.07407,123.8308,0.5601
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,199116.8,82.0,0.748,0.021914,0.7698,0.000158013,0.12471000000000002,-4.8016,0.05902,118.30819999999999,0.7481
